source,relationship,target,derivation_level,source_label,target_label,source_centroid_x,source_centroid_y,source_centroid_z,target_centroid_x,target_centroid_y,target_centroid_z,source_box_center_x,source_box_center_y,source_box_center_z,target_box_center_x,target_box_center_y,target_box_center_z,centroid_distance,status,inverse_expected,inverse_exists,semantic_rule_ok,geometry_ok,invalid_issues,review_issues,manual_label,manual_issue,manual_note
door_window_7,above,floor_0,geometric,door_window,floor,630.865356,801.819519,230.16333,631.634583,807.572754,228.944427,630.907684,801.882507,230.140404,631.84668,807.302002,228.938408,5.931033,valid,below,true,,true,,,,,
floor_0,below,door_window_7,geometric,floor,door_window,631.634583,807.572754,228.944427,630.865356,801.819519,230.16333,631.84668,807.302002,228.938408,630.907684,801.882507,230.140404,5.931033,valid,above,true,,true,,,,,
moldings_0,adjacent_to,column_2,geometric,moldings,column,631.450256,812.98291,232.382584,628.575684,810.978699,230.931137,631.367188,813.087494,231.604408,628.570679,810.988495,230.98941,3.792984,valid,adjacent_to,true,,true,,,,,
column_2,adjacent_to,moldings_0,geometric,column,moldings,628.575684,810.978699,230.931137,631.450256,812.98291,232.382584,628.570679,810.988495,230.98941,631.367188,813.087494,231.604408,3.792984,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,door_window_3,geometric,moldings,door_window,631.450256,812.98291,232.382584,639.29071,810.040344,231.980316,631.367188,813.087494,231.604408,639.33316,810.032013,231.453911,8.384106,valid,adjacent_to,true,,true,,,,,
door_window_3,adjacent_to,moldings_0,geometric,door_window,moldings,639.29071,810.040344,231.980316,631.450256,812.98291,232.382584,639.33316,810.032013,231.453911,631.367188,813.087494,231.604408,8.384106,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,door_window_5,geometric,moldings,door_window,631.450256,812.98291,232.382584,635.525696,811.64978,230.118546,631.367188,813.087494,231.604408,635.520172,811.640533,230.153412,4.84895,valid,adjacent_to,true,,true,,,,,
door_window_5,adjacent_to,moldings_0,geometric,door_window,moldings,635.525696,811.64978,230.118546,631.450256,812.98291,232.382584,635.520172,811.640533,230.153412,631.367188,813.087494,231.604408,4.84895,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,door_window_6,geometric,moldings,door_window,631.450256,812.98291,232.382584,624.412537,810.879272,230.81926,631.367188,813.087494,231.604408,624.417175,810.90152,231.435913,7.509911,valid,adjacent_to,true,,true,,,,,
door_window_6,adjacent_to,moldings_0,geometric,door_window,moldings,624.412537,810.879272,230.81926,631.450256,812.98291,232.382584,624.417175,810.90152,231.435913,631.367188,813.087494,231.604408,7.509911,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,wall_0,geometric,moldings,wall,631.450256,812.98291,232.382584,623.474731,807.117126,231.040924,631.367188,813.087494,231.604408,623.745667,808.444,231.579903,9.990819,valid,adjacent_to,true,,true,,,,,
wall_0,adjacent_to,moldings_0,geometric,wall,moldings,623.474731,807.117126,231.040924,631.450256,812.98291,232.382584,623.745667,808.444,231.579903,631.367188,813.087494,231.604408,9.990819,valid,adjacent_to,true,,true,,,,,
moldings_0,near,wall_4,geometric,moldings,wall,631.450256,812.98291,232.382584,631.860107,813.360779,230.824905,631.367188,813.087494,231.604408,631.848663,813.320007,231.224403,1.654426,valid,near,true,,true,,,,,
wall_4,near,moldings_0,geometric,wall,moldings,631.860107,813.360779,230.824905,631.450256,812.98291,232.382584,631.848663,813.320007,231.224403,631.367188,813.087494,231.604408,1.654426,valid,near,true,,true,,,,,
moldings_0,adjacent_to,wall_4,geometric,moldings,wall,631.450256,812.98291,232.382584,631.860107,813.360779,230.824905,631.367188,813.087494,231.604408,631.848663,813.320007,231.224403,1.654426,valid,adjacent_to,true,,true,,,,,
wall_4,adjacent_to,moldings_0,geometric,wall,moldings,631.860107,813.360779,230.824905,631.450256,812.98291,232.382584,631.848663,813.320007,231.224403,631.367188,813.087494,231.604408,1.654426,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,wall_5,geometric,moldings,wall,631.450256,812.98291,232.382584,627.218933,814.594727,230.842926,631.367188,813.087494,231.604408,627.59967,814.223511,231.210411,4.78253,valid,adjacent_to,true,,true,,,,,
wall_5,adjacent_to,moldings_0,geometric,wall,moldings,627.218933,814.594727,230.842926,631.450256,812.98291,232.382584,627.59967,814.223511,231.210411,631.367188,813.087494,231.604408,4.78253,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,wall_6,geometric,moldings,wall,631.450256,812.98291,232.382584,636.752319,811.091309,230.705414,631.367188,813.087494,231.604408,636.729675,811.092499,230.815903,5.873919,valid,adjacent_to,true,,true,,,,,
wall_6,adjacent_to,moldings_0,geometric,wall,moldings,636.752319,811.091309,230.705414,631.450256,812.98291,232.382584,636.729675,811.092499,230.815903,631.367188,813.087494,231.604408,5.873919,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,wall_7,geometric,moldings,wall,631.450256,812.98291,232.382584,634.272705,812.240601,230.793167,631.367188,813.087494,231.604408,634.282684,812.225525,230.808411,3.323174,valid,adjacent_to,true,,true,,,,,
wall_7,adjacent_to,moldings_0,geometric,wall,moldings,634.272705,812.240601,230.793167,631.450256,812.98291,232.382584,634.282684,812.225525,230.808411,631.367188,813.087494,231.604408,3.323174,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,wall_9,geometric,moldings,wall,631.450256,812.98291,232.382584,635.545044,811.791565,232.917908,631.367188,813.087494,231.604408,635.498688,811.735504,232.85791,4.298042,valid,adjacent_to,true,,true,,,,,
wall_9,adjacent_to,moldings_0,geometric,wall,moldings,635.545044,811.791565,232.917908,631.450256,812.98291,232.382584,635.498688,811.735504,232.85791,631.367188,813.087494,231.604408,4.298042,valid,adjacent_to,true,,true,,,,,
moldings_0,adjacent_to,vault_0,geometric,moldings,vault,631.450256,812.98291,232.382584,631.64447,807.507263,234.109207,631.367188,813.087494,231.604408,631.63269,807.523499,233.706909,5.744707,valid,adjacent_to,true,,true,,,,,
vault_0,adjacent_to,moldings_0,geometric,vault,moldings,631.64447,807.507263,234.109207,631.450256,812.98291,232.382584,631.63269,807.523499,233.706909,631.367188,813.087494,231.604408,5.744707,valid,adjacent_to,true,,true,,,,,
moldings_1,near,door_window_0,geometric,moldings,door_window,639.473877,805.846985,231.70192,640.368652,807.460327,231.718689,639.449677,805.876495,231.663902,640.397675,807.476532,231.454903,1.844932,valid,near,true,,true,,,,,
door_window_0,near,moldings_1,geometric,door_window,moldings,640.368652,807.460327,231.718689,639.473877,805.846985,231.70192,640.397675,807.476532,231.454903,639.449677,805.876495,231.663902,1.844932,valid,near,true,,true,,,,,
moldings_1,adjacent_to,door_window_0,geometric,moldings,door_window,639.473877,805.846985,231.70192,640.368652,807.460327,231.718689,639.449677,805.876495,231.663902,640.397675,807.476532,231.454903,1.844932,invalid,adjacent_to,true,,false,geometry_check_failed,,,,
door_window_0,adjacent_to,moldings_1,geometric,door_window,moldings,640.368652,807.460327,231.718689,639.473877,805.846985,231.70192,640.397675,807.476532,231.454903,639.449677,805.876495,231.663902,1.844932,invalid,adjacent_to,true,,false,geometry_check_failed,,,,
moldings_1,near,door_window_1,geometric,moldings,door_window,639.473877,805.846985,231.70192,638.821716,804.18634,231.643616,639.449677,805.876495,231.663902,638.815674,804.175018,231.421402,1.785064,invalid,near,true,,false,geometry_check_failed,,,,
door_window_1,near,moldings_1,geometric,door_window,moldings,638.821716,804.18634,231.643616,639.473877,805.846985,231.70192,638.815674,804.175018,231.421402,639.449677,805.876495,231.663902,1.785064,invalid,near,true,,false,geometry_check_failed,,,,
moldings_1,adjacent_to,door_window_1,geometric,moldings,door_window,639.473877,805.846985,231.70192,638.821716,804.18634,231.643616,639.449677,805.876495,231.663902,638.815674,804.175018,231.421402,1.785064,valid,adjacent_to,true,,true,,,,,
door_window_1,adjacent_to,moldings_1,geometric,door_window,moldings,638.821716,804.18634,231.643616,639.473877,805.846985,231.70192,638.815674,804.175018,231.421402,639.449677,805.876495,231.663902,1.785064,valid,adjacent_to,true,,true,,,,,
moldings_1,near,wall_2,geometric,moldings,wall,639.473877,805.846985,231.70192,639.483154,807.695984,232.336945,639.449677,805.876495,231.663902,639.282684,806.757996,231.651405,1.955029,valid,near,true,,true,,,,,
wall_2,near,moldings_1,geometric,wall,moldings,639.483154,807.695984,232.336945,639.473877,805.846985,231.70192,639.282684,806.757996,231.651405,639.449677,805.876495,231.663902,1.955029,valid,near,true,,true,,,,,
moldings_1,adjacent_to,wall_2,geometric,moldings,wall,639.473877,805.846985,231.70192,639.483154,807.695984,232.336945,639.449677,805.876495,231.663902,639.282684,806.757996,231.651405,1.955029,valid,adjacent_to,true,,true,,,,,
wall_2,adjacent_to,moldings_1,geometric,wall,moldings,639.483154,807.695984,232.336945,639.473877,805.846985,231.70192,639.282684,806.757996,231.651405,639.449677,805.876495,231.663902,1.955029,valid,adjacent_to,true,,true,,,,,
vault_0,above,moldings_1,geometric,vault,moldings,631.64447,807.507263,234.109207,639.473877,805.846985,231.70192,631.63269,807.523499,233.706909,639.449677,805.876495,231.663902,8.357701,valid,below,true,,true,,,,,
moldings_1,below,vault_0,geometric,moldings,vault,639.473877,805.846985,231.70192,631.64447,807.507263,234.109207,639.449677,805.876495,231.663902,631.63269,807.523499,233.706909,8.357701,valid,above,true,,true,,,,,
moldings_2,adjacent_to,column_0,geometric,moldings,column,627.309631,804.172119,232.36084,632.196411,809.283569,230.942963,627.671173,805.264526,231.581406,632.18219,809.291016,230.983406,7.212345,valid,adjacent_to,true,,true,,,,,
column_0,adjacent_to,moldings_2,geometric,column,moldings,632.196411,809.283569,230.942963,627.309631,804.172119,232.36084,632.18219,809.291016,230.983406,627.671173,805.264526,231.581406,7.212345,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,column_3,geometric,moldings,column,627.309631,804.172119,232.36084,630.642944,805.986633,230.953262,627.671173,805.264526,231.581406,630.650177,806.000519,230.977905,4.047803,valid,adjacent_to,true,,true,,,,,
column_3,adjacent_to,moldings_2,geometric,column,moldings,630.642944,805.986633,230.953262,627.309631,804.172119,232.36084,630.650177,806.000519,230.977905,627.671173,805.264526,231.581406,4.047803,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,column_4,geometric,moldings,column,627.309631,804.172119,232.36084,627.034119,807.691467,230.932327,627.671173,805.264526,231.581406,627.012695,807.688995,230.985909,3.808197,valid,adjacent_to,true,,true,,,,,
column_4,adjacent_to,moldings_2,geometric,column,moldings,627.034119,807.691467,230.932327,627.309631,804.172119,232.36084,627.012695,807.688995,230.985909,627.671173,805.264526,231.581406,3.808197,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,door_window_6,geometric,moldings,door_window,627.309631,804.172119,232.36084,624.412537,810.879272,230.81926,627.671173,805.264526,231.581406,624.417175,810.90152,231.435913,7.466962,valid,adjacent_to,true,,true,,,,,
door_window_6,adjacent_to,moldings_2,geometric,door_window,moldings,624.412537,810.879272,230.81926,627.309631,804.172119,232.36084,624.417175,810.90152,231.435913,627.671173,805.264526,231.581406,7.466962,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,door_window_7,geometric,moldings,door_window,627.309631,804.172119,232.36084,630.865356,801.819519,230.16333,627.671173,805.264526,231.581406,630.907684,801.882507,230.140404,4.796557,valid,adjacent_to,true,,true,,,,,
door_window_7,adjacent_to,moldings_2,geometric,door_window,moldings,630.865356,801.819519,230.16333,627.309631,804.172119,232.36084,630.907684,801.882507,230.140404,627.671173,805.264526,231.581406,4.796557,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,wall_0,geometric,moldings,wall,627.309631,804.172119,232.36084,623.474731,807.117126,231.040924,627.671173,805.264526,231.581406,623.745667,808.444,231.579903,5.012155,valid,adjacent_to,true,,true,,,,,
wall_0,adjacent_to,moldings_2,geometric,wall,moldings,623.474731,807.117126,231.040924,627.309631,804.172119,232.36084,623.745667,808.444,231.579903,627.671173,805.264526,231.581406,5.012155,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,wall_1,geometric,moldings,wall,627.309631,804.172119,232.36084,634.775208,800.612549,231.847031,627.671173,805.264526,231.581406,634.843689,800.855499,231.618904,8.286699,valid,adjacent_to,true,,true,,,,,
wall_1,adjacent_to,moldings_2,geometric,wall,moldings,634.775208,800.612549,231.847031,627.309631,804.172119,232.36084,634.843689,800.855499,231.618904,627.671173,805.264526,231.581406,8.286699,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,wall_3,geometric,moldings,wall,627.309631,804.172119,232.36084,629.702515,802.51001,230.677078,627.671173,805.264526,231.581406,629.721161,802.5065,230.769913,3.365049,valid,adjacent_to,true,,true,,,,,
wall_3,adjacent_to,moldings_2,geometric,wall,moldings,629.702515,802.51001,230.677078,627.309631,804.172119,232.36084,629.721161,802.5065,230.769913,627.671173,805.264526,231.581406,3.365049,valid,adjacent_to,true,,true,,,,,
moldings_2,near,wall_8,geometric,moldings,wall,627.309631,804.172119,232.36084,627.300293,803.599854,230.890884,627.671173,805.264526,231.581406,627.324677,803.596008,231.225906,1.577449,valid,near,true,,true,,,,,
wall_8,near,moldings_2,geometric,wall,moldings,627.300293,803.599854,230.890884,627.309631,804.172119,232.36084,627.324677,803.596008,231.225906,627.671173,805.264526,231.581406,1.577449,valid,near,true,,true,,,,,
moldings_2,adjacent_to,wall_8,geometric,moldings,wall,627.309631,804.172119,232.36084,627.300293,803.599854,230.890884,627.671173,805.264526,231.581406,627.324677,803.596008,231.225906,1.577449,valid,adjacent_to,true,,true,,,,,
wall_8,adjacent_to,moldings_2,geometric,wall,moldings,627.300293,803.599854,230.890884,627.309631,804.172119,232.36084,627.324677,803.596008,231.225906,627.671173,805.264526,231.581406,1.577449,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,wall_10,geometric,moldings,wall,627.309631,804.172119,232.36084,630.843201,801.832825,232.922134,627.671173,805.264526,231.581406,630.953674,801.872528,232.836403,4.274747,valid,adjacent_to,true,,true,,,,,
wall_10,adjacent_to,moldings_2,geometric,wall,moldings,630.843201,801.832825,232.922134,627.309631,804.172119,232.36084,630.953674,801.872528,232.836403,627.671173,805.264526,231.581406,4.274747,valid,adjacent_to,true,,true,,,,,
moldings_2,adjacent_to,vault_0,geometric,moldings,vault,627.309631,804.172119,232.36084,631.64447,807.507263,234.109207,627.671173,805.264526,231.581406,631.63269,807.523499,233.706909,5.742021,valid,adjacent_to,true,,true,,,,,
vault_0,adjacent_to,moldings_2,geometric,vault,moldings,631.64447,807.507263,234.109207,627.309631,804.172119,232.36084,631.63269,807.523499,233.706909,627.671173,805.264526,231.581406,5.742021,valid,adjacent_to,true,,true,,,,,
moldings_3,near,door_window_1,geometric,moldings,door_window,637.935364,802.574402,231.739319,638.821716,804.18634,231.643616,637.931671,802.586517,231.605904,638.815674,804.175018,231.421402,1.842043,valid,near,true,,true,,,,,
door_window_1,near,moldings_3,geometric,door_window,moldings,638.821716,804.18634,231.643616,637.935364,802.574402,231.739319,638.815674,804.175018,231.421402,637.931671,802.586517,231.605904,1.842043,valid,near,true,,true,,,,,
moldings_3,adjacent_to,door_window_1,geometric,moldings,door_window,637.935364,802.574402,231.739319,638.821716,804.18634,231.643616,637.931671,802.586517,231.605904,638.815674,804.175018,231.421402,1.842043,invalid,adjacent_to,true,,false,geometry_check_failed,,,,
door_window_1,adjacent_to,moldings_3,geometric,door_window,moldings,638.821716,804.18634,231.643616,637.935364,802.574402,231.739319,638.815674,804.175018,231.421402,637.931671,802.586517,231.605904,1.842043,invalid,adjacent_to,true,,false,geometry_check_failed,,,,
moldings_3,near,door_window_2,geometric,moldings,door_window,637.935364,802.574402,231.739319,637.285339,800.912781,231.644974,637.931671,802.586517,231.605904,637.274689,800.871521,231.42691,1.786734,invalid,near,true,,false,geometry_check_failed,,,,
door_window_2,near,moldings_3,geometric,door_window,moldings,637.285339,800.912781,231.644974,637.935364,802.574402,231.739319,637.274689,800.871521,231.42691,637.931671,802.586517,231.605904,1.786734,invalid,near,true,,false,geometry_check_failed,,,,
moldings_3,adjacent_to,door_window_2,geometric,moldings,door_window,637.935364,802.574402,231.739319,637.285339,800.912781,231.644974,637.931671,802.586517,231.605904,637.274689,800.871521,231.42691,1.786734,valid,adjacent_to,true,,true,,,,,
door_window_2,adjacent_to,moldings_3,geometric,door_window,moldings,637.285339,800.912781,231.644974,637.935364,802.574402,231.739319,637.274689,800.871521,231.42691,637.931671,802.586517,231.605904,1.786734,valid,adjacent_to,true,,true,,,,,
moldings_3,adjacent_to,wall_1,geometric,moldings,wall,637.935364,802.574402,231.739319,634.775208,800.612549,231.847031,637.931671,802.586517,231.605904,634.843689,800.855499,231.618904,3.721163,valid,adjacent_to,true,,true,,,,,
wall_1,adjacent_to,moldings_3,geometric,wall,moldings,634.775208,800.612549,231.847031,637.935364,802.574402,231.739319,634.843689,800.855499,231.618904,637.931671,802.586517,231.605904,3.721163,valid,adjacent_to,true,,true,,,,,
moldings_3,adjacent_to,wall_2,geometric,moldings,wall,637.935364,802.574402,231.739319,639.483154,807.695984,232.336945,637.931671,802.586517,231.605904,639.282684,806.757996,231.651405,5.383625,valid,adjacent_to,true,,true,,,,,
wall_2,adjacent_to,moldings_3,geometric,wall,moldings,639.483154,807.695984,232.336945,637.935364,802.574402,231.739319,639.282684,806.757996,231.651405,637.931671,802.586517,231.605904,5.383625,valid,adjacent_to,true,,true,,,,,
moldings_3,above,wall_11,geometric,moldings,wall,637.935364,802.574402,231.739319,638.059509,802.822693,229.197495,637.931671,802.586517,231.605904,638.082672,802.801025,229.208405,2.556938,valid,below,true,,true,,,,,
wall_11,below,moldings_3,geometric,wall,moldings,638.059509,802.822693,229.197495,637.935364,802.574402,231.739319,638.082672,802.801025,229.208405,637.931671,802.586517,231.605904,2.556938,valid,above,true,,true,,,,,
vault_0,above,moldings_3,geometric,vault,moldings,631.64447,807.507263,234.109207,637.935364,802.574402,231.739319,631.63269,807.523499,233.706909,637.931671,802.586517,231.605904,8.338155,valid,below,true,,true,,,,,
moldings_3,below,vault_0,geometric,moldings,vault,637.935364,802.574402,231.739319,631.64447,807.507263,234.109207,637.931671,802.586517,231.605904,631.63269,807.523499,233.706909,8.338155,valid,above,true,,true,,,,,
moldings_4,near,door_window_2,geometric,moldings,door_window,636.369263,799.477539,232.519012,637.285339,800.912781,231.644974,636.350189,799.495026,232.610909,637.274689,800.871521,231.42691,1.913912,invalid,near,true,,false,geometry_check_failed,,,,
door_window_2,near,moldings_4,geometric,door_window,moldings,637.285339,800.912781,231.644974,636.369263,799.477539,232.519012,637.274689,800.871521,231.42691,636.350189,799.495026,232.610909,1.913912,invalid,near,true,,false,geometry_check_failed,,,,
moldings_4,adjacent_to,door_window_2,geometric,moldings,door_window,636.369263,799.477539,232.519012,637.285339,800.912781,231.644974,636.350189,799.495026,232.610909,637.274689,800.871521,231.42691,1.913912,valid,adjacent_to,true,,true,,,,,
door_window_2,adjacent_to,moldings_4,geometric,door_window,moldings,637.285339,800.912781,231.644974,636.369263,799.477539,232.519012,637.274689,800.871521,231.42691,636.350189,799.495026,232.610909,1.913912,valid,adjacent_to,true,,true,,,,,
moldings_4,near,door_window_4,geometric,moldings,door_window,636.369263,799.477539,232.519012,634.644653,800.07959,231.795273,636.350189,799.495026,232.610909,634.64267,800.050995,231.399406,1.964827,invalid,near,true,,false,geometry_check_failed,,,,
door_window_4,near,moldings_4,geometric,door_window,moldings,634.644653,800.07959,231.795273,636.369263,799.477539,232.519012,634.64267,800.050995,231.399406,636.350189,799.495026,232.610909,1.964827,invalid,near,true,,false,geometry_check_failed,,,,
moldings_4,adjacent_to,door_window_4,geometric,moldings,door_window,636.369263,799.477539,232.519012,634.644653,800.07959,231.795273,636.350189,799.495026,232.610909,634.64267,800.050995,231.399406,1.964827,valid,adjacent_to,true,,true,,,,,
door_window_4,adjacent_to,moldings_4,geometric,door_window,moldings,634.644653,800.07959,231.795273,636.369263,799.477539,232.519012,634.64267,800.050995,231.399406,636.350189,799.495026,232.610909,1.964827,valid,adjacent_to,true,,true,,,,,
moldings_4,adjacent_to,wall_1,geometric,moldings,wall,636.369263,799.477539,232.519012,634.775208,800.612549,231.847031,636.350189,799.495026,232.610909,634.843689,800.855499,231.618904,2.069014,valid,adjacent_to,true,,true,,,,,
wall_1,adjacent_to,moldings_4,geometric,wall,moldings,634.775208,800.612549,231.847031,636.369263,799.477539,232.519012,634.843689,800.855499,231.618904,636.350189,799.495026,232.610909,2.069014,valid,adjacent_to,true,,true,,,,,
vault_0,above,moldings_4,geometric,vault,moldings,631.64447,807.507263,234.109207,636.369263,799.477539,232.519012,631.63269,807.523499,233.706909,636.350189,799.495026,232.610909,9.451394,valid,below,true,,true,,,,,
moldings_4,below,vault_0,geometric,moldings,vault,636.369263,799.477539,232.519012,631.64447,807.507263,234.109207,636.350189,799.495026,232.610909,631.63269,807.523499,233.706909,9.451394,valid,above,true,,true,,,,,
moldings_5,near,door_window_0,geometric,moldings,door_window,640.941101,809.079224,232.740356,640.368652,807.460327,231.718689,640.919678,809.076508,232.599907,640.397675,807.476532,231.454903,1.998081,invalid,near,true,,false,geometry_check_failed,,,,
door_window_0,near,moldings_5,geometric,door_window,moldings,640.368652,807.460327,231.718689,640.941101,809.079224,232.740356,640.397675,807.476532,231.454903,640.919678,809.076508,232.599907,1.998081,invalid,near,true,,false,geometry_check_failed,,,,
moldings_5,adjacent_to,door_window_0,geometric,moldings,door_window,640.941101,809.079224,232.740356,640.368652,807.460327,231.718689,640.919678,809.076508,232.599907,640.397675,807.476532,231.454903,1.998081,valid,adjacent_to,true,,true,,,,,
door_window_0,adjacent_to,moldings_5,geometric,door_window,moldings,640.368652,807.460327,231.718689,640.941101,809.079224,232.740356,640.397675,807.476532,231.454903,640.919678,809.076508,232.599907,1.998081,valid,adjacent_to,true,,true,,,,,
moldings_5,adjacent_to,wall_2,geometric,moldings,wall,640.941101,809.079224,232.740356,639.483154,807.695984,232.336945,640.919678,809.076508,232.599907,639.282684,806.757996,231.651405,2.049806,valid,adjacent_to,true,,true,,,,,
wall_2,adjacent_to,moldings_5,geometric,wall,moldings,639.483154,807.695984,232.336945,640.941101,809.079224,232.740356,639.282684,806.757996,231.651405,640.919678,809.076508,232.599907,2.049806,valid,adjacent_to,true,,true,,,,,
vault_0,above,moldings_5,geometric,vault,moldings,631.64447,807.507263,234.109207,640.941101,809.079224,232.740356,631.63269,807.523499,233.706909,640.919678,809.076508,232.599907,9.527443,valid,below,true,,true,,,,,
moldings_5,below,vault_0,geometric,moldings,vault,640.941101,809.079224,232.740356,631.64447,807.507263,234.109207,640.919678,809.076508,232.599907,631.63269,807.523499,233.706909,9.527443,valid,above,true,,true,,,,,
door_window_0,adjacent_to,vault_0,geometric,door_window,vault,640.368652,807.460327,231.718689,631.64447,807.507263,234.109207,640.397675,807.476532,231.454903,631.63269,807.523499,233.706909,9.04589,valid,adjacent_to,true,,true,,,,,
vault_0,adjacent_to,door_window_0,geometric,vault,door_window,631.64447,807.507263,234.109207,640.368652,807.460327,231.718689,631.63269,807.523499,233.706909,640.397675,807.476532,231.454903,9.04589,valid,adjacent_to,true,,true,,,,,
door_window_1,adjacent_to,vault_0,geometric,door_window,vault,638.821716,804.18634,231.643616,631.64447,807.507263,234.109207,638.815674,804.175018,231.421402,631.63269,807.523499,233.706909,8.283751,valid,adjacent_to,true,,true,,,,,
vault_0,adjacent_to,door_window_1,geometric,vault,door_window,631.64447,807.507263,234.109207,638.821716,804.18634,231.643616,631.63269,807.523499,233.706909,638.815674,804.175018,231.421402,8.283751,valid,adjacent_to,true,,true,,,,,
